iter	Passed	Remaining
0	10	10759
1	23	11639
2	34	11513
3	44	10996
4	55	11041
5	70	11655
6	81	11610
7	90	11228
8	101	11169
9	113	11270
10	123	11139
11	135	11193
12	147	11170
13	156	10989
14	167	10981
15	179	11051
16	188	10901
17	199	10909
18	210	10886
19	220	10788
20	232	10840
21	243	10840
22	253	10781
23	267	10889
24	281	10983
25	295	11062
26	306	11039
27	318	11055
28	343	11507
29	358	11591
30	372	11647
31	385	11658
32	400	11729
33	413	11758
34	429	11852
35	447	11971
36	466	12134
37	483	12252
38	498	12289
39	512	12306
40	526	12325
41	541	12349
42	556	12380
43	570	12384
44	582	12352
45	597	12397
46	612	12410
47	625	12404
48	639	12413
49	653	12417
50	663	12346
51	677	12358
52	689	12316
53	700	12278
54	710	12214
55	722	12182
56	735	12175
57	747	12133
58	759	12111
59	770	12071
60	779	11999
61	791	11968
62	802	11929
63	811	11865
64	822	11828
65	833	11791
66	842	11727
67	853	11702
68	865	11671
69	875	11632
70	887	11613
71	899	11595
72	908	11536
73	919	11506
74	930	11479
75	939	11423
76	951	11411
77	963	11384
78	973	11349
79	986	11340
80	1000	11345
81	1013	11351
82	1025	11329
83	1040	11345
84	1067	11491
85	1084	11527
86	1098	11530
87	1112	11530
88	1123	11496
89	1134	11467
90	1148	11476
91	1161	11465
92	1171	11423
93	1183	11409
94	1195	11387
95	1205	11349
96	1216	11324
97	1227	11297
98	1236	11255
99	1249	11248
100	1262	11236
101	1271	11196
102	1282	11170
103	1294	11154
104	1304	11118
105	1316	11104
106	1327	11080
107	1341	11076
108	1351	11047
109	1365	11044
110	1377	11035
111	1392	11040
112	1406	11043
113	1419	11028
114	1431	11019
115	1445	11014
116	1457	11003
117	1472	11006
118	1489	11026
119	1507	11053
120	1525	11080
121	1542	11102
122	1562	11140
123	1579	11155
124	1604	11232
125	1617	11220
126	1629	11201
127	1643	11198
128	1658	11198
129	1670	11182
130	1680	11146
131	1698	11166
132	1709	11140
133	1719	11110
134	1728	11075
135	1739	11052
136	1750	11029
137	1761	11001
138	1772	10978
139	1782	10952
140	1791	10915
141	1802	10892
142	1811	10858
143	1822	10833
144	1832	10807
145	1841	10773
146	1852	10751
147	1861	10715
148	1873	10701
149	1885	10682
150	1894	10649
151	1906	10636
152	1918	10618
153	1926	10583
154	1940	10577
155	1952	10562
156	1964	10548
157	1973	10515
158	1988	10519
159	2000	10502
160	2009	10471
161	2020	10454
162	2032	10435
163	2041	10405
164	2052	10388
165	2064	10372
166	2073	10341
167	2085	10330
168	2096	10310
169	2105	10279
170	2116	10260
171	2127	10242
172	2136	10214
173	2147	10196
174	2156	10168
175	2167	10149
176	2179	10132
177	2188	10104
178	2200	10091
179	2211	10073
180	2220	10049
181	2234	10042
182	2245	10027
183	2254	10000
184	2266	9986
185	2277	9968
186	2287	9944
187	2298	9928
188	2311	9919
189	2321	9895
190	2332	9880
191	2344	9867
192	2353	9842
193	2365	9826
194	2379	9822
195	2392	9812
196	2401	9787
197	2414	9780
198	2425	9763
199	2437	9748
200	2449	9736
201	2461	9724
202	2473	9710
203	2482	9685
204	2493	9670
205	2504	9653
206	2514	9632
207	2527	9624
208	2538	9607
209	2548	9587
210	2560	9575
211	2573	9564
212	2582	9541
213	2593	9526
214	2604	9511
215	2614	9488
216	2625	9473
217	2637	9459
218	2647	9440
219	2661	9436
220	2676	9436
221	2695	9446
222	2710	9443
223	2723	9436
224	2738	9431
225	2751	9422
226	2766	9419
227	2777	9404
228	2795	9410
229	2809	9407
230	2826	9409
231	2840	9402
232	2854	9396
233	2869	9394
234	2882	9382
235	2892	9364
236	2906	9358
237	2918	9343
238	2931	9332
239	2940	9311
240	2952	9297
241	2963	9282
242	2973	9262
243	2986	9253
244	2998	9240
245	3007	9218
246	3019	9203
247	3029	9187
248	3038	9165
249	3050	9152
250	3061	9135
251	3070	9113
252	3082	9100
253	3091	9080
